======================================================================
Line Tracing Algorithm - Statistics for 849 Lines
======================================================================

Configuration:
  Input image: images/timik.jpg
  Sinogram angles: 1000
  Avoid traced lines: True
  Recalculate Radon every: Disabled

Performance:
  Load time: 25.97 seconds
  Trace time: 16.96 seconds
  Render time: 0.03 seconds
  Total time: 42.96 seconds
  Lines per second: 50.1

Path Statistics:
  Total steps: 849
  Unique lines: 849
  Efficiency: 849/849 = 100.0%
  MSE vs original: 0.293173

Value Statistics:
  Starting value: 788.3722
  Ending value: 775.8074
  Value drop: 12.5648 (1.59%)
  Min value: 770.6842
  Max value: 788.3722
  Mean value: 778.5726
  Median value: 778.0869

Quality Distribution:
  High quality (>99% of max):    257 lines ( 30.3%)
  Medium quality (95-99% of max):  592 lines ( 69.7%)
  Lower quality (<95% of max):      0 lines (  0.0%)

Angle Coverage:
  Phi range: [0.1deg, 185.3deg]
  Theta range: [0.0deg, 179.8deg]
  Unique phi positions: 118
  Unique theta angles: 110

Sample of traced lines (first 50 and last 50):
Step   Phi (deg)    Theta (deg)    Value     
--------------------------------------------------
0      181.00       9.72           788.3722  
1      18.44        7.74           787.7526  
2      177.04       7.56           787.4664  
3      18.08        7.74           787.7526  
4      177.40       7.56           787.4664  
5      17.72        7.74           787.7526  
6      177.76       8.28           786.8901  
7      18.80        10.08          786.5646  
8      181.36       9.72           788.3722  
9      18.08        9.36           787.6306  
10     180.64       9.72           788.3722  
11     18.80        8.46           786.0759  
12     178.12       8.28           786.8901  
13     18.44        9.36           787.6306  
14     180.28       7.92           783.9811  
15     15.56        8.10           783.4533  
16     180.64       9.54           787.8977  
17     18.44        7.56           787.4465  
18     176.68       7.38           786.9926  
19     18.08        7.92           787.3795  
20     177.76       8.10           786.8345  
21     18.44        7.92           787.3795  
22     177.40       7.38           786.9926  
23     17.36        7.20           786.3271  
24     177.04       7.38           786.9926  
25     17.72        9.36           787.6306  
26     181.00       9.54           787.8977  
27     18.08        8.10           784.9162  
28     178.12       7.92           785.4448  
29     17.72        9.54           785.2119  
30     181.36       9.90           786.1450  
31     18.44        7.38           786.0813  
32     176.32       6.30           782.5294  
33     16.28        8.10           783.4533  
34     179.92       7.92           783.9811  
35     15.92        8.10           783.4533  
36     180.28       7.74           782.7175  
37     15.20        7.38           783.0259  
38     179.56       7.92           783.9811  
39     16.28        6.48           782.8483  
40     176.68       7.20           786.7137  
41     17.72        8.10           784.9162  
42     178.48       8.28           786.8901  
43     18.08        7.20           783.4092  
44     176.32       0.36           782.2286  
45     4.40         179.82         784.0028  
46     175.24       179.10         783.3539  
47     2.96         179.28         783.3876  
48     175.60       6.30           782.5294  
49     17.00        7.20           786.3271  
...
799    5.48         179.82         773.4353  
800    174.16       177.30         777.8914  
801    0.44         177.12         776.3177  
802    173.80       177.48         777.8620  
803    1.16         177.30         776.5328  
804    173.44       177.48         773.6119  
805    1.52         179.46         774.5192  
806    177.40       0.90           775.5290  
807    4.40         179.28         776.0159  
808    174.16       177.48         777.8620  
809    0.80         178.20         774.2059  
810    175.60       2.34           776.4201  
811    9.08         2.16           774.1068  
812    175.24       177.66         773.6985  
813    0.08         176.94         776.3788  
814    173.80       178.74         777.5164  
815    3.68         178.92         775.8832  
816    174.16       177.12         776.7125  
817    0.08         177.30         775.0933  
818    174.52       3.60           774.5952  
819    12.68        8.10           773.6183  
820    183.52       10.26          773.1122  
821    17.00        10.62          772.5092  
822    184.24       9.36           773.4744  
823    14.48        8.46           774.1478  
824    182.44       11.70          774.7689  
825    20.96        10.80          773.0645  
826    180.64       10.44          775.2968  
827    20.24        8.28           772.3844  
828    176.32       179.10         775.7300  
829    1.88         179.46         774.5192  
830    177.04       8.46           775.2016  
831    19.88        8.64           776.5614  
832    177.40       4.86           775.2843  
833    12.32        4.50           774.0056  
834    176.68       4.32           774.6265  
835    11.96        3.96           776.0626  
836    175.96       179.10         775.7300  
837    2.24         179.64         773.6810  
838    177.04       5.22           775.1437  
839    13.40        8.10           773.6183  
840    182.80       9.00           774.3861  
841    15.20        6.48           774.0306  
842    177.76       0.90           774.0886  
843    4.04         178.74         774.2499  
844    173.44       176.76         771.8676  
845    0.08         177.48         772.4549  
846    174.88       0.00           774.2375  
847    5.12         179.64         773.8126  
848    174.16       176.94         775.8074  
